country   ASes  
           726
AU         509
BR         122
AR          83
US          79
UY          78
TR          42
IQ          41
UA          31
EC          27
LB          23
AL          19
PS          17
ES          16
MX          13
IL          13
KZ          13
AZ          13
GB          12
DO          12
CO          11
HN          10
NO           9
CA           9
SK           8
NL           8
AM           8
PE           8
PL           8
RS           7
KG           7
CL           7
DE           7
TZ           6
IT           6
ZA           6
NG           6
UZ           6
SO           6
MU           6
VE           6
LY           6
BG           5
TT           5
SA           5
BH           5
KW           5
GE           5
PT           5
HU           5
LT           5
JO           5
DK           5
AO           4
SV           4
NI           4
KE           4
MG           4
BA           4
HR           4
BO           4
AE           4
SI           4
RE           4
LV           4
CH           4
CR           4
AT           4
CY           4
CZ           4
NE           3
RO           3
GT           3
HT           3
CI           3
MD           3
RU           3
BY           3
BW           3
MT           3
SS           3
EG           3
IS           3
CG           3
UG           3
MK           3
GH           3
MZ           3
PR           3
SC           3
CM           3
SL           3
TD           3
TJ           3
PY           3
BB           2
SZ           2
ZW           2
MW           2
NA           2
FO           2
BS           2
RW           2
CN           2
ZM           2
BM           2
DM           2
SR           2
CV           2
JM           2
QA           2
SN           2
ME           2
TN           2
FR           2
MQ           2
BJ           2
OM           2
IE           2
GP           1
VG           1
ID           1
MA           1
GD           1
LC           1
MC           1
EE           1
LS           1
BE           1
VC           1
ML           1
SX           1
YE           1
GN           1
DZ           1
CF           1
GW           1
BI           1
TC           1
GI           1
FI           1
ll           1
AG           1
GL           1
BF           1
TG           1
BZ           1
KM           1
KY           1
SD           1
LR           1
GM           1
GQ           1
LU           1
DJ           1
rs           1
GY           1
AD           1
ry           1
GR           1
GA           1
VI           1
