country   ASes  
None       617
IN         181
BR         142
AR         105
US          82
PK          58
ID          51
BD          47
IQ          45
TR          42
UA          35
PH          34
EC          30
MX          27
LB          23
AL          20
CO          19
PS          18
ES          17
NP          16
UY          16
KZ          15
IL          15
PE          14
DO          14
CL          13
KH          13
AZ          13
TH          13
CA          12
GB          12
TW          11
HN          10
NO          10
AU          10
VN          10
PL           9
MM           9
VE           9
MN           8
MY           8
SK           8
DE           8
AF           8
ZA           8
AM           8
KG           7
PT           7
RS           7
LT           7
GT           7
IT           7
GE           7
NZ           7
LY           7
UZ           7
JO           6
BG           6
SO           6
CR           6
BO           6
HU           6
NG           6
TZ           6
LK           6
BH           5
KE           5
MD           5
CY           5
TT           5
SA           5
HK           5
DK           5
NI           5
CN           5
SG           5
KW           5
LA           4
AO           4
MG           4
RE           4
HR           4
SV           4
AT           4
NL           4
CZ           4
SI           4
GR           4
CH           4
SE           4
LV           4
BA           4
RO           4
AE           4
IS           3
PY           3
UG           3
IE           3
CI           3
BW           3
MA           3
SS           3
EG           3
TD           3
MU           3
BY           3
NE           3
MT           3
RU           3
JP           3
NA           3
GH           3
TJ           3
OM           3
CG           3
JM           3
PR           3
DZ           3
MK           3
SL           3
MZ           3
CM           3
SC           3
BB           2
PF           2
ZM           2
MV           2
SZ           2
ZW           2
BZ           2
MW           2
RW           2
GY           2
TL           2
AS           2
LS           2
BM           2
FO           2
FJ           2
SR           2
CV           2
PA           2
BE           2
SN           2
ME           2
SD           2
ZZ           2
TN           2
DM           2
FR           2
BJ           2
GU           2
QA           2
HT           2
BS           2
MQ           2
NC           1
GW           1
GD           1
BT           1
CF           1
BI           1
MC           1
VC           1
SX           1
EE           1
GN           1
CK           1
TC           1
YE           1
KR           1
LC           1
GM           1
FI           1
GA           1
hk           1
VG           1
GP           1
ML           1
AD           1
KY           1
KM           1
BN           1
AG           1
vn           1
GL           1
BF           1
TG           1
pk           1
LR           1
GQ           1
LU           1
DJ           1
WS           1
CW           1
GI           1
VI           1
