index      asn country  hosts
0      AS32934      US   1493
1      AS55836      AU    334
2       AS9498      AU    299
3      AS28573      BR    249
4       AS3269      IT    237
5       AS8151      UY    193
6      AS63293      US    157
7      AS16509      US    152
8      AS12430      ES    147
9       AS9829      AU    138
10     AS50710      IQ    134
11     AS13999      UY    128
12     AS30722      IT    124
13     AS34984      TR    108
14      AS9121      TR    101
15     AS36947      DZ    101
16     AS23693      AU     94
17      AS7552      AU     89
18     AS26615      BR     88
19     AS12252      UY     88
20      AS2856      GB     86
21     AS27699      BR     85
22      AS6147      UY     81
23     AS18881      UY     79
24      AS7738      UY     74
25     AS12479      ES     69
26     AS17072      UY     68
27     AS45727      AU     68
28     AS51684             67
29      AS2609             67
30      AS8452             65
31     AS22927      UY     65
32      AS8708      RO     64
33      AS6713             60
34     AS14080      UY     60
35      AS9299      AU     59
36     AS28006      EC     58
37     AS27747      AR     58
38      AS7713      AU     57
39      AS7470      AU     57
40    AS206067      GB     56
41     AS38266      AU     53
42      AS7303      UY     53
43      AS4761      AU     52
44     AS17557      AU     52
45     AS25019      SA     52
46      AS3816      UY     51
47     AS45899      AU     51
48     AS22047      UY     50
49     AS45916      AU     50
50      AS4230      UY     50
51     AS12874      IT     48
52     AS24203      AU     47
53     AS45430      AU     46
54     AS14618      US     46
55     AS13285      GB     44
56     AS17639      AU     44
57     AS55644      AU     42
58      AS7418      UY     41
59     AS15557      FR     41
60     AS12735      TR     41
61     AS17488      AU     37
62      AS3303      CH     37
63     AS48503      KZ     36
64     AS29049      AZ     36
65      AS4775      AU     35
66       AS852      CA     35
67     AS35819      SA     35
68     AS47524      TR     34
69     AS19037      UY     33
70     AS12353      PT     33
71     AS15897      TR     33
72     AS52228      CR     33
73     AS14754      UY     33
74      AS3243      PT     33
75      AS5378      GB     32
76      AS8881      DE     31
77      AS8167      UY     31
78       AS812      CA     30
79     AS13489      UY     30
80     AS13591      UY     30
81      AS9541      AU     30
82     AS27738      EC     29
83     AS35228      GB     28
84     AS21497      UA     28
85     AS63859      AU     27
86     AS12975      PS     27
87     AS28126      BR     27
88     AS26611      CO     27
89      AS9587      AU     27
90     AS24186      AU     26
91     AS23969      AU     26
92      AS3462      AU     25
93     AS18403      AU     25
94     AS45758      AU     25
95     AS18004      AU     24
96     AS15704      ES     24
97    AS133982      AU     24
98      AS9924      AU     23
99     AS36873      NG     23
100     AS4788      AU     23
101   AS198589      IQ     23
102     AS1257      NL     23
103     AS9534      AU     22
104    AS43766      SA     22
105    AS10030      AU     22
106    AS45528      AU     22
107    AS25106      BY     22
108     AS8781      QA     21
109    AS22773      US     21
110    AS12302      RO     21
111    AS59588      IQ     21
112    AS18207      AU     20
113    AS36935      EG     20
114    AS15924      TR     20
115    AS36924      CI     20
116    AS11888      UY     20
117    AS12083      US     20
118    AS24863             20
119     AS8966      AE     20
120    AS21299      KZ     20
121    AS36992      EG     20
122    AS34296      TR     19
123     AS9605             19
124    AS37069      EG     19
125     AS2119      NO     19
126    AS17451      AU     19
127   AS137967      AU     19
128     AS4787      AU     19
129    AS29465             19
130     AS1267      IT     19
131    AS11338      UY     19
132      AS174      US     19
133     AS9050             18
134    AS45543             18
135    AS24835             18
136    AS15895             18
137     AS2110             18
138    AS28509             18
139    AS36884             18
140     AS2860             18
141    AS59257             18
142     AS4818             17
143    AS58715             17
