NumberLow,NumberHigh,RIR,WHOIS,RDAP,Reference
1,1876,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
1877,1901,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
1902,2042,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
2043,2043,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
2044,2046,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
2047,2047,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
2048,2106,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
2107,2136,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
2137,2584,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
2585,2614,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
2615,2772,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
2773,2822,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
2823,2829,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
2830,2879,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
2880,3153,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
3154,3353,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
3354,4607,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
4608,4865,APNIC,whois.apnic.net,https://rdap.apnic.net/,,
4866,5376,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
5377,5631,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
5632,6655,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
6656,6911,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
6912,7466,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
7467,7722,APNIC,whois.apnic.net,https://rdap.apnic.net/,,
7723,8191,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
8192,9215,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
9216,10239,APNIC,whois.apnic.net,https://rdap.apnic.net/,,
10240,12287,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
12288,13311,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
13312,15359,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
15360,16383,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
16384,17407,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
17408,18431,APNIC,whois.apnic.net,https://rdap.apnic.net/,,
18432,20479,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
20480,21503,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
21504,23455,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
23457,23551,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",,
23552,24575,APNIC,whois.apnic.net,https://rdap.apnic.net/,,
24576,25599,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,,
25600,26623,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
26624,27647,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
27648,28671,LACNIC,whois.lacnic.net,https://rdap.lacnic.net/rdap/,
28672,29695,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
29696,30719,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
30720,31743,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
31744,32767,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
32768,33791,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
33792,34815,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
34816,35839,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
35840,36863,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
36864,37887,AFRINIC,whois.afrinic.net,"https://rdap.afrinic.net/rdap/ http://rdap.afrinic.net/rdap/",
37888,38911,APNIC,whois.apnic.net,https://rdap.apnic.net/,
38912,39935,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
39936,40959,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
40960,41983,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
41984,43007,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
43008,44031,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
44032,45055,RIPE NCC,whois.ripe.net,https://rdap.db.ripe.net/,
45056,46079,APNIC,whois.apnic.net,https://rdap.apnic.net/,
46080,47103,ARIN,whois.arin.net,"https://rdap.arin.net/registry http://rdap.arin.net/registry",
