           asn  hosts
1      AS32934  1493
22     AS55836   334
5       AS9498   299
44     AS28573   249
141     AS3269   237
56      AS8151   193
21     AS63293   157
193    AS16509   152
13     AS12430   147
60      AS9829   138
31     AS50710   134
23     AS13999   128
71     AS30722   124
146    AS34984   108
157     AS9121   101
24     AS36947   101
120    AS23693    94
18      AS7552    89
65     AS26615    88
27     AS12252    88
339     AS2856    86
245    AS27699    85
269     AS6147    81
36     AS18881    79
26      AS7738    74
129    AS12479    69
132    AS17072    68
145    AS45727    68
78     AS51684    67
33      AS2609    67
175     AS8452    65
39     AS22927    65
481     AS8708    64
118     AS6713    60
428    AS14080    60
474     AS9299    59
15     AS28006    58
394    AS27747    58
204     AS7713    57
102     AS7470    57
16    AS206067    56
404    AS38266    53
123     AS7303    53
97      AS4761    52
416    AS17557    52
53     AS25019    52
343     AS3816    51
227    AS45899    51
184    AS22047    50
336    AS45916    50
38      AS4230    50
285    AS12874    48
301    AS24203    47
413    AS45430    46
90     AS14618    46
520    AS13285    44
75     AS17639    44
289    AS55644    42
188     AS7418    41
148    AS15557    41
153    AS12735    41
399    AS17488    37
376     AS3303    37
506    AS48503    36
695    AS29049    36
696     AS4775    35
238      AS852    35
85     AS35819    35
179    AS47524    34
923    AS19037    33
827    AS12353    33
242    AS15897    33
166    AS52228    33
641    AS14754    33
544     AS3243    33
94      AS5378    32
34      AS8881    31
235     AS8167    31
468      AS812    30
221    AS13489    30
83     AS13591    30
87      AS9541    30
563    AS27738    29
589    AS35228    28
448    AS21497    28
164    AS63859    27
412    AS12975    27
579    AS28126    27
125    AS26611    27
80      AS9587    27
354    AS24186    26
230    AS23969    26
676     AS3462    25
176    AS18403    25
223    AS45758    25
172    AS18004    24
303    AS15704    24
106   AS133982    24
765     AS9924    23
1185   AS36873    23
109     AS4788    23
887   AS198589    23
147     AS1257    23
403     AS9534    22
554    AS43766    22
49     AS10030    22
383    AS45528    22
556    AS25106    22
956     AS8781    21
183    AS22773    21
948    AS12302    21
504    AS59588    21
455    AS18207    20
215    AS36935    20
137    AS15924    20
292    AS36924    20
239    AS11888    20
210    AS12083    20
307    AS24863    20
324     AS8966    20
244    AS21299    20
185    AS36992    20
402    AS34296    19
330     AS9605    19
11     AS37069    19
111     AS2119    19
